,text
1310,"ужасно не понравился цвет:( пожалела, что взяла."
1311,"Продавец обманывает даёт купоны товар не отправляет, потом даёт чужой трек номер, отвратительное впечатления к этому магазину. Позор!!!!. Потеряла много времени и нервов."
1312,"цвет куртки не белый, а скорее серый "
1313,"Хорошие легинсы, размер подошел, ношу S. Трек отслеживался немного коряво, дошли за 21 день."
1314,Футболка так и не пришла но вернули деньги
1315,отличные носочки! на 40 подошли
1316,"юбка классная!  швы ровные, ниток торчащих нет, я довольна!! однозначно рекомендую. на бедра 103, рост 170, вес 73 -xxl сел идеально."
1317,"все супер! на российский 44 взяла L, село хорошо, рукава на месте, в плечах не жмет."
1318,"пришло быстро,но в описании написано трикотож а пришла 100% синтетика.по этому 2"
1319,"кружево существенно отличается от того что на фото, пришито криво, цвет кружева не в тон комплекту, брюки коротковаты"
1320,Очень страшненькая выглядит ещё дешевле чем стоит 
1321,"Не совпал размер, хотя брала заранее измеряв себя, проверяла в таблице размеров"
1322,все отлично. спвсибо
1323,"Заказ шел примерно месяц,  но мне не понравился-толку от него нет. Может подойдёт для девушек с небольшой грудью."
1324,"Товар не пришел!!! Продавец отписывался, но деньги вернул сам Алиэкспресс, а не продавец!!!"
1325,"на размер 50 брала XL,пришла короткая и тоньше чем думала"
1326,Посылка не пришла и не отслеживалась.
1327,"юбка конечно класс,заказываю 2 раз,но к сожалению прислали размером меньше,заказала первый раз М в розовом цвете,все отлично,второй раз бордовую,размер стоит М,а на самом деле на 2см меньше в объеме,так что не угадаешь."
1328,ужасное платье тонкое не тянеться прямое не приталенное как на фото я очень разочерована( не берите оно того не стоит!
1329,"Спасибо! Очень хорошее фабричное качество! Строчки ровные, нитки не торчат! Доставка до ЕКБ 3 недели! Рекомендую эту тунику к покупке! Продавцу процветания!"
1330,умоляла его отправить товар отвратительный продавец .шапки так себе
1331,Заказ не пришёл продавец даже не отписался и никакого ответа 
1332,"отвратительное платье застированного цвета.  торчат нитки, кривые швы. написала претензию продавцу, деньги не вернули"
1333,"На 48 подошел хорошо, приятная к телу, соответсвует описанию"
1334,гольная синтетика с начёсом
1335,https://ru.itao.com/u/307997824#post-10006925335286
1336,"заказ доставлен за 11 дней.
кружевное и красивое, на этом плюсы закончились.
очень длинное, наверно на 2х метровых девушек.край кружева на груди несимметричен и смотрится некрасиво."
1337,"куртка очень понравилась,но ошиблась с размером,перезакажу.
с доставкой надом."
1338,Пришли большие 
1339,"товар к сожалению не получила,продавец вернул деньги."
1340,"размеры маек очень некорректно отображены в размерной сетке .майки короткие и широкие . подойдут только на низких и полных девушек . материал вискоза , по пошиву претензий нет ."
1341,Заказывала s а пришло далеко не s на девочку лет 10-11
1342,"почти как на фото, но выглядит дешевле, шла очень долго"
1343,"большая в объемах, но короткий рукав. очень долго шла"
1344,"Немного свободно внизу, а так в принципе нравится. Все, как на картинке."
1345,село хорошо на 90-70-90 при росте 167 и вес 52 кг спереди длина выше колена на лето просто супер
1346,"заказ не пришёл, продавец просил закрыть спор и подражать . в итоге я спор не закрыла ,деньги вернули"
1347,ЦЕНА СООТВЕТСТВУЕТ ТОВАРУ.РЕКОМЕНДУЮ
1348,Порвались как и у всех
1349,"заказ К сожалению оценить не могу так как шорты мне не пришли, продавец вернул деньги"
1350,"Качество хорошее, но размерная сетка продовца совершенно не соответствует реальности"
1351,"лосины просто огромные,надо было на свой российский 60 заказывать двоечку,цвет тоже не соответствует,очень темно-серый,в магазине такие не купила бы.Шли очень долго"
1352,"кофта хорошая, хоть рукава и коротковаты на 173, но расползлась в рукаве по шву после первого дня("
1353,"не вздумайте тут покупать. мало того что трек не отслеживается, дак ещё и продавец предложил отправить снова"
1354,"Заказываю уже третье носки у этого продавца. Качество класс, ношу полгода.  Доставка 18 дней в Вологду."
1355,"Качество топа отличное,на 42 ра-р идеально,тянется хорошо,можно на больший ра-р."
1356,"не соответствует описанию, не ровные швы, возле молнии дырочка, местами вылазиют нитки."
1357,"товор в срок не прибыл, был открыт спор, деньги не вернули, продавец закрыл спор без моего согласия, даже не поняла как."
1358,материал вообще не понравился
1359,"качество так себе, синтетика, соответствует цене. сильно тянутся. размер соответствует."
1360,Водолазка маленькая ! На 42 размер не подошло 
1361,Товар не пришёл. Жду больше месяца. Защита прошла. Его почему то перенесли в завершённые. Трек номер не отслеживается вообще. Верните деньги обратно! :(( 
1362,"Красивые. Нормально по бедрам и по талии, но сами штанины страшно узкие. У меня ноги стройные, поэтому это проблема лекал"
1363,"ПРОДАВЕЦ ТОВАР ОТПРАВИЛ В ДРУГОЙ ГОРОД, НА ОБРАЩЕНИЯ МОЛЧИТ, ДЕНЬГИ НЕ ВЕРНУЛ."
1364,"Шёл несколько месяцев,не держится ,заказом не довольна"
1365,Заказ от 22.07 в Москве 09.08 супер... качество отличное 
1366,ужасно товар не пришол деньги не вернули . продавец написал что я вру и заказ получила я в шоке !!!!! просто отвратительное!!!!
1367,очень красивая..
1368,"Кофту заказывала на L, по факту пришла S., в добавок ещё и рукава короткие"
1369,"ночнушка в пользовании не понравилась,бант развязывается во время сна,по спинке пришита ленточка-впивается в кожу,только для маленькой груди"
1370,Маломерка!! Пришлось отдать дочери т.к она худенькая. Очень колючий
1371,"КУРТКА СУПЕР, ДОСТАВКА БЫСТРАЯ, ПРОДАВЕЦ СУПЕР, РЕКОМЕНДУЮ, СПАСИБО БОЛЬШОЕ ВАМ."
1372,"Товар не пришёл. Открыл спор, деньги вернули. Прошло с момента оплаты более 2 месяцев."
1373,кривая
1374,"Качество нанесения рисунка не очень, есть косяки."
1375,куртка хорошая. точно как на картинке и в описании. качество нормальное. на позднюю осень подойдет отлично. взяла для прогулок с сыном. покупкой довольна. трек отслеживался. шло 1 мес. 4 дня.
1376,"Продавец перепутал номер отслеживания! На сообщения отвечал очень долго. На просьбу выслать правильный номер отправил неправильный. Маечка имеет неприятный запах, пришла с грязными пятнами и ткань очень тонкая."
1377,довольна:) толтко долиноватое
1378,"Мне не понравилось качество, посылка не отслеживается, шёл заказ три месяца"
1379,"Пижама очень хорошая. мягкая. Но посылка шла ОЧЕНЬ долго. Заказывали на новый год подарок ребенку, а пришел почти через два месяца ( заказали 25.11.2017, получили 22,11,2018). Ребенок расстроился."
1380,"Очень долго ждала, оплатила 18.11.2017,  хотела на новогодние праздники подарить, но получила 10.01.2018. Буду сама носить."
1381,"леггинсы супер.  заказывала черные М,чтобы не просвеч. в след раз закажу ещё и серые. очень быстро доставили"
1382,"Товар так и не птовар не пришёлришёл, заказ был на несколько пар"
1383,"Просто класс!! Ткань приятная, смотрится шикарно!"
1384,"фигня, нитки торчат, хотела носить как пояс-баска, размер оказался огромный"
1385,"Продавец отправил достаточно быстро. Ткань синтетическая. Есть небольшой брак,в виде полоски, которая не отстирывается..."
1386,Кака полная
1387,"Заказывала S на рост 159см, хотела немного просторную, подошло идеально"
1388,"такое дерьмо,просто нет слов"
1389,Платье конечно в приличное место я б не надела. Или в ночной клуб где ничего не видно.  Мне на Новый год дома детей порадовать отлично. Надену на чёрную футболку и легинсы. Чтоб не пошло. 
1390,"good quality goods, it is very suitable for the price, well sewn, thank you seller for the trouble, the order was long on the road, but thanks to the seller the problem was decided in my favor"
1391,"Посылка пришла быстро за 15 дней, на ог 98 и от 88 рост 165 взяла ххl - грудь и плечи впритык, рукава немного маловаты. Материал плотный, похож на фланельку."
1392,Качество материала просто ужасное. Не стоит своих денег.На рукавах отсутствуют бусины
1393,"Платье пошито некачествено, плечо и горловина перекошены, ткань первый слой  которая идет как подклад с браком."
1394,"продавец вообще не отправил товар, два месяца мозг парил, урод."
1395,"Очень понравились брюки. На ОБ 106 и ОТ 84 4XL сели как на меня шили. При росте 163 см длинноваты, но внизу пришита резинка и с её помощью получается подвернуть брюки на нужную длину."
1396,"Кардиган приятный к телу, цвет глубокий бордо, красивый. Слава Богу, что на параметры 88-67-92 заказала размер S, он прям сводный на мне. По длине зато хорош
даже на рост 176"
1397,Очень короткий!на рост 160 трусы еле прикрывает!
1398,ужасное качество! синтетика!просвечивается очень сильно!
1399,"Всё хорошо, но цвет больше коричневый чем серый "
1400,"качество отличное, но размер не подошел хотя заказывала на свой размер"
1401,Размер не соответствует s я тону в этом свитаре будто размер М! Качество понравилось мягкий крутой но размеры на жирных телок s мне велико хотя я далеко не худышка все висит на мне
1402,"Я в восторге!! Качество отличное, доставка быстрая, размер правильный. Буду заказывать у этого продавца ещё!!!!"
1403,"неприятный запах, после стирки не ушел, кнопка очень тугая, сразу отодралась, приклеена была на клей, нитки торчали везде, открыла спор, вернули 200 рублей"
1404,"Это шикарно!! Пришло за 2 недели до Иркутска, запаха не было, стирки пережила хорошо. Боже,это потрясно!!! Спасибо большое!))) Очень советую)))))"
1405,"прозрачное до ужаса, ей только полы мыть и то тряпки прочнее будут, чем эта блузка!..."
1406,"качество не такое как ожидала и видела на картинке, размер М оказался мал."
1407,"Сегодня получила свою посылку. Дошла очень быстро -2 недели.
Толстовка разочаровала тонким и искусственным материалом.
Размер подошел. На 46 размер брала ХХL."
1408,"beautiful bra, but a little big for me"
1409,"хорошие маечки. описание соответствуют. пудровая вообще классный ая. хороши под пиджак в офисе. на рост 175 по длине впритык, можно было бы добавить 3-5 см. дошли за месяц до Санкт-Петербурга"
1410,"Заказ не пришел. Деньги вернули только тогда, когда вмешался Aliexpress"
1411,"хорошая вещь, но они разной длины( это сильно заметно. если опустить ниже, то резинка не держит и всё скатывается к щиколодке. закатать тоже не вариант - виден шов. пустая трата денег"
1412,очень тоненькая
1413,"размер М подошёл на вес в 56кг,беременный живот,7 месяцев)
качество хорошее,за эти деньги очень даже"
1414,"разочарована. это,скорее,туника, тонкая. однозначно, маломерка.  пришло быстро,единственное достоинство. а в кармане я нашла ДЫРКУ! спасибо,но не рекомендую!"
1415,очень понравилось. смотрится хорошо и теплая
1416,"Хорошее качество ,быстрая доставка "
1417,куртка очень тоненькая.заказывал у другого продавца была немного потолще.А так нормальная.доставка быстрая
1418,на фото ткань как шелк..на деле не то..ночнушка
1419,"Товар не пришёл . Деньги не вернули ещё , продавец не ответил на спор "
1420,"Мягкий,тёплый. Соответствует описанию и фото. Пришёл быстро, спасибо продавцу)"
1421,"Мне не понравилась фигня с размерами, у меня M размер, а заказала L(посчитала лучше на вырост чем меленькая) пришла обтянула капец, как будто S заказала, поэтому берите 2-3 размера больше "
1422,"велико по размеру,рукава очень длинные и почти доколен.Мой рост 162см,вес 85кг,брала 4xl.Запах ужасный как будто в краске полоскали."
1423,"качество хорошее, но опоздала, пришла не вовремя. позже указанного времени"
1424,"качество ужасное, в живую выглядит ужасно,  не так как на фото"
1425,"размер подошёл идеально,но на спине ткань гармошкой,ужас"
1426,"Пошив ночнушки ужасный ,все в кривь и в кось.На груди сидит плохо ,как будто шили на уши спаниеля .Торчит куча ниток из кружева.И ещё очень прилипает к телу ,примагничиваться .Не советую "
1427,"Спасибо большое продавцу, свитер очень хороший мягкий к телу( без всяких браков) , быстрая доставка в течении 2 недель в Саратов, РЕКОМЕНДУЮ"
1428,"хорошее качество,но на высокий рост будут брюки короткие"
1429,"блузка не пришла, но ставлю 5 звезд а честность продовца, деньги вернул сразу."
1430,трек неотслеживался
1431,"торчат нитки, шлица плохо прошита"
1432,"очень клевые джинсы...Без ниток и запаха, все целое.Цвет красивый.Продавец молодец все быстро отправил и подарочек положил( браслетик)"
1433,"Больше подойдёт на девушку 42/44 размера. На дамах комплектации чуть побольше брюки будут сидеть в облипку. Штанишки коротковаты. Но в целом заказом довольна! Пижама мягкая, к телу приятная. А ещё и цена хорошая! Рекомендую. "
1434,"Отличная юбка, дошла быстро. Кармашки глубокие, подкладка не тянет."
1435,"Юбка оказалась мала, хоть и подбирала ее по размерной таблице. Плюс дырки для пуговиц были не прорезаны."
1436,"куртка тонкая, пуха на капюшоне практически нет, рукава как раз, длина короткая( талия выше )! брала S , сама ростом 158, вес 51.... вобщем внимательней выбирайте!"
1437,Товар не пришел ....деньги не вернули
1438,"Брюки все равно короткие, даже размер ХХЛ, на рост 171см, вторые и все равно короткие, доставка быстрая. Спасибо"
1439,"Время покупателя закончилось, деньги не вернули. Не советую. Даже одной звезды не стоит. "
1440,заказ не получила!!!! денег не вернули!!!
1441,"странный материал, внизу не обработан матерал"
1442,"Товар так и не пришёл, деньги не вернули, спор закрыли"
1443,Лучшая покупка на алиэкспресс !!)))
1444,Единственный минус ужасный запах(( А так за эти деньги вполне нормальная шапка))
1445,Мягкая приятная
1446,"милые колготки, целые, запах есть, но он выветрится"
1447,Не понравились как сидят
1448,"качество хорошее,но большая.Постирала,очень села,теперь маленькая.А по качеству хорошая."
1449,"кофта классная, но есть маленький дефект."
1450,не понравилось что верх кофты синтэтика
1451,"Кофточка очень понравилась По размеру подошла идеально.Быстрая доставка,заказала 07.09,пришла 23.09,в Краснодарский край."
1452,широкое. очень короткое. ткань так себе. но что-нибудь придумаю с ним
1453,Полное несоответствие фото и описания с товаром!!!Доставка около месяца.Несоответствие длины тела и руковов
1454,Платье соответствует описанию. Доставка быстрая. Пришло с браком - дырочка со стрелкой. Али по спору вернул деньги. С продавцом не общалась.
1455,леггинсы супер
1456,"шло 7 недель!!!!! платье норм,L на 92-80-100 очень хорошо,меньше не надо"
1457,очень довольна покупкой
1458,"шикарные алладины. псевдо лен, но хорошего качесива. на штанинах щабавные петельки с пуговкой, что бы делать проем для ноги меньше) на 48рус сели отлично."
1459,Good goods and fast delivery. Thank you seller.
1460,"посылка не пришла, и не отслеживалась, открыла спор деньги вернули."
1461,"Приехала в Челябинск за месяц. По размеру вроде соответствует, рукав и в груди, но по плечам меньше на 3-4 см, немного узковата. Рукав в обтяжку. но в принципе носить можно. Лучше заказывать на размер  больше."
1462,качество отличное. нет торчащих ниток. но кофта максимум на 44 российский размер
1463,Ужасное качество!!!!!!!куски ткани торчат со всех сторон
1464,Блузка 3XL по описанию на бюст 108 см. Факт размер бюст 100. Поэтому мала. Качество среднее.
1465,"Товар не пришёл, Деньги вернули"
1466,отличная юбка
1467,Очень плохой заказ.  Сделано кое-как. Нитки торчат. Шитье пришито неровно. Заказ шел очень долго.
1468,Классное качество и с размером угадали!
1469,Не соответствует цвет. Заказывала желтый пришло цвет горчицы. Синтетика. Просвечивается. Носить не буду.
1470,"очень бошьшой вырез, нужно пришить пуговицу."
1471,Меньше месяца до Краснодара. Размер в размер. Пуговки на месте. Цвет яркий. Запаха нет 
1472,"Как только получила, померяла и сразу пошли две стрелки от ластовицы вверх, к спине. Размер оказался великоват. Надо было брать на размер меньше. С продавцом не общалась."
1473,"61 день ждал товар, везли наверно на черепахах.Больше заказывать тут не буду."
1474,что вы мне прислали я разве это заказывала посмотрите внимательно я хочу вернуть очень плохо работаете не советую вас
1475,ткань 100% акрил. цена на распродаже в день холостяка была выше чем на день этого отзыва. Отправлял долго (отправили только через 2 недели).
1476,"Платье супер,по качеству соответствует своей цене,нитки не торчали)"
1477,синтетика. Короткие рукава. на российский М нужно было брать XL
1478,торчат нитки. заказ шел долго. с размером не угадала.
1479,"Отличная майка! Нитки не торчат, пришла быстро ! Закажу еще!"
1480,"Отлично сел, закажу ещё других цветов"
1481,"Качество материала плохое, сидит ужасно. Не советую"
1482,"Платье супер, очень приятное, простое и удобное!  Все швы аккуратные. Доставка очень долгая, больше месяца шло, но оправдало все мои ожидания! Я довольна!"
1483,"материал плохой,на груди топорщится,сзали лямка слишком длинная"
1484,"Плохой материал, заказывала размер L, но пришел маленький размер, нигде не указано, что L."
1485,на фото длинный топ фактически он короче сантиметров на 10. и смотрится из за этого  совсем не так хорошо как на фото
1486,очень понравился!
1487,заказ полз очень очень долго. Сначало мой заказ отправили не туда. второй раз ждала месяц когда же наконец то все придет.(((( само платье супер. но уже лето закончилось пока я его дождалась.
1488,"Футболка огромного размера ,качество не то,что указанно на картинке.не соответствует."
1489,Заказала две шапки. Голубую и бежевую. Пришли хорошего качества но бежевая кривая на макушке. 
1490,хороший выбор
1491,"качество хорошее, пришло вовремя, размер подошел"
1492,"Продавец отправил товар быстро, заказ до Воронежской области пришел за 22 дня. Пиджак не соответствует описанию, материал из которого он сшит полное @авно!!!! КАТЕГОРИЧЕСКИ НЕ РЕКОМЕНДУЮ!!!!! "
1493,доставка две недели. вещь абсолютно бесполезная. коеиться и держиться хорошо. но мою обвисшую грудь никак не корректирует
1494,"толстовка синтетика с ворсом мягким изнутри, в будущем будут катышки, но за эту цену вполне приемлемо."
1495,"красивая, но очень здоровая на меня"
1496,"Отличный бюстгальтер за такие деньги, очень понравился. Липнет хорошо, думаю несколько раз в нем можно походить, на постоянную носку он не удобен, куда-нибудь на вечер сходить-отличный вариант)))"
1497,"думала, что они будут ярче и плотнее. скользкие, тонкие, но не прозрачные"
1498,"Продавец обманщик. Выдал чужой трек,потом просил закрыть спор и обещал выслать снова... Хорошо через службу поддержки вернул деньги"
1499,"Доставка быстрая - 2 недели. трикотаж тонкий, тянется как резина, не чистый хлопок, много синтетики. На рост не более 1,5 метра. Ощущение делового ширпотреба, цена завышена."
1500,"Юбка класс, но ждали очень долго, 42 дня(."
1501,"Продавец прислал мне не тот цвет , вместо тёмно серого прислал светло серый !!!!"
1502,"Брала размер М, размеру соответствует. 
Толстовка понравилась, пушистая, пушистая..."
1503,"Everything is perfect, I can't find proper words to express how much I love this sweater! It's soft, warm, fits me perfectly and looks expensive (:"
1504,"Пальто симпатичное, но для русской зимы не годится. Тонкая ткань, без всякого утепления."
1505,"Длина действительно только на ребёнка, литр носить как шарф с руковами, обидно ."
1506,"где мой заказ?написсано,что его получили в другом городеверните деньги или отправте опятья так её ждала!"
1507,ну что могу сказать) огонь!!!за эти деньги супер бюстгалтер!!!на объем 75 и 3 взяла размер 36/80.буду заказывать ещё.
1508,"Товар не понравился. У меня не очень крупные ноги и в комментариях я прочитала что они тянутся, размер всегда носила s,в общем и заказала s, оказались очень велики, я не довольна покупкой. "
1509,"Футболка понравилась, синтетика конечно, но с такой я знакома, носить можно, не в жару. Принт яркий, палитра цветов теплая,
 L  на 46-48 подошёл, пошив аккуратный. Доставка бесит, 1.5 месяца СДЭК, лучше бы почтой."
1510,"спасибо , кофта нравится очень, пришло достаточно быстро))"
1511,"товар не пришёл. заказываю второй раз. в первый раз без претензий, в этот... не дождалась. очень жаль. деньги не вернули."
1512,Не соответсвует указанным размерам меньше притом две блузки одного размера а разные по размерам
1513,Посылка не пришла. Трек не отслеживался. НЕ РЕКОМЕНДУЮ - ДЕНЬГИ НА ВЕТЕР!!!
1514,"Какая-то проблема с пропорциями(( на меня Рубашка коротковата, широковата, при этом вырез получается слишком большой, нужно что-то поддевать для приличия . Хотя фасон сам по. Ещё очень красивый, конечно."
1515,Пришли с пятном на штанине
1516,"Очень тонкая кофта,  покупала за 819р, своих денег не стоит, выглядит очень жалко"
1517,"Качество хорошее, свитер пушистый. Но размер не соответствует. Он как я поняла единый,т.к никаких обозначений размера нет, рукава короткие - при том что мой рост 165см. Вообще не соответствует описанию."
1518,На 46 брала Xl все замечательно! С продавцом не общалась.
1519,Замечательное платье! Очень быстро приехало
1520,очень плохое качество( смотрится отвратительно. дешевка. не рекомендую. размер не соответствует
1521,Не идеально белый цвет. Но плотная.
1522,"цвет вообще не соответствует,  мне не понравилась. качество хорошее,  но ожидала другого."
1523,отличная футболка. заказывала s на свой 42 размер .
1524,На мой 44-46 М-ка впритык. В плечах и груди никакого запаса. Воротник прикольный. Довольно тонкая.
1525,"Очень неприятная ткань, чистая синтетика, одеваешь на минуту и уже хочется снять"
1526,"Очень классное платье!Размер идеально подошёл,т.к ткань тянется.Доставка месяц.Определенно рекомендую продавца,буду заказывать ещё."
1527,Все хорошо! Спасибо!
1528,"очень разочаровало, что имеется шов, в описании его не было"
1529,"Юбка мне не понравилась, думала будет немного плотнее, коооькая, но заказ пришел бысто"
1530,"Посылка пришла быстро ,трек отслеживался ,брала 2 рубашки с ёжиками .Всё аккуратно прошито .По размеру совпало ,я брала М и S.Ткань приятная ,хлопок в составе есть ."
1531,"Платье очень понравилось, в нескольких местах торчали нитки. Платье получила быстро, недели три где то(Казань)"
1532,нашла дырку на платье
1533,"На рост 154 рукава КОРОТКИЕ..ЦВЕТ- МОЛОЧНЫЙ  с желтым отливом, а НЕ белый!!!!! Пряжа хоть и мягкая , но очень дёшево смотрится."
1534,"Блузка без вытачек для груди, за счёт чего грудь расплющивается"
1535,"очень приятная к телу, в самый раз, очень понравилось."
1536,"продавец отправил мне м, а не s и обманул с размерами"
1537,Долго доставлялся заказ
1538,отвратительно. товар.хоть продавец клялся и божился.но так и не пришел. жду денег после спора. категорически нет
1539,"Юбка хорошо села,ткань очень тонкая и очень плохо пахнет(тухлой рыбой).Постирала-бесполезно,все равно очень плохо пахнет."
1540,"Ужасно плохо пошито, все швы неровные, ткань тоже отрезана неровно, поэтому трусы все кривые"
1541,фигня.выкинутые деньги.
1542,"Кофтюля классная! Цвет насыщенный, материал плотный, качественный, дешманским китаем и не пахнет. Облегает конечно мощно. Доставка быстрая, 2 недели."
1543,"платье супер. плотное,цвет как на фото,продавец на связи,товар отслеживался."
1544,"товар не пришел,деньги не вернули"
1545,штаны отстой. на стандартной фигуре сидят совершенно не как на фото.
1546,очень маленькая! на картинки лучше!
1547,"Не совпадает размер, штаны короткие :("
1548,"Товар пришёл без повреждений. Если у вас рост больше 170 см ,не стоит их брать "
1549,Пришло очень быстро в Москву . Всем доволен 
1550,Ужасное качество.  Размер прислали меньше
1551,"Заказ ждали очень очень долго (2 месяца), в итоге ничего не пришло. Открыл спор, жду результат. Не рекомендую этого продавца. "
1552,"Очень красивое платье, рекомендую. Немного большевато в груди. Одеваю топ"
1553,"Заказывала размер М на свой 44 в самый раз есть немного торчащие нитки но это не страшно ,а так швы ровные  вообщем я довольна посылка прибыла в 3 недели в Кировскую область "
1554,Голая синтетика. Очень низкое качество. 
1555,"Заказ получила за 3 недели, трек отслеживался, носочки понравились: и красивые, и плотные, и рисунок хорош. Как будут носиться, посмотрим, все хорошо."
1556,"Классная пижама,на 44 размер заказала м.села идеально.спасибо продавцу))"
1557,"блузка очень понравилась.Доставка быстрая.Выглядит дорого,продавца рекомендую."
1558,"ткань плотная и твердая, может после стирки станет мягче. синтетика. хоть я не толстая и грудь маленькая, но в груди жмет. не советую."
1559,Прекрасный магазин. Отличный товар. Дочь очень довольна. Супер быстрая доставка. Пять звезд с бльшим плюсом.
1560,очень большая плюс еще и тянется
1561,"хорошие ,очень быстрая доставка ."
1562,"Нуууу, заказ пришёл и ушёл! так как не отслеживалось нормально, деньги теперь не вернуть и оповещяний не было... печально..."
1563,Тонкая приятная ткань. Пояс не анатомически высоко.
1564,"носочки хорошие, только внутри немного грубоваты, много ниток и швов"
1565,"размер больше , чем заявлено в таблице.ткань синтетика."
1566,"в реальности смотрится не как на фото, а смотрится дешево, одевать можно только дома"
1567,кофта не очень тёплая на 46 48 заказывала Xl подошла идеально пришёл за неделю Нижний Новгород
1568,На рост 163 идеально и даже ещё с запасом ) отлично тянутся муж в восторге 
1569,Хрень!!!!! Не тратьте деньги!!!
1570,очень понравилась куртка 60 кг вес рост 167 заказала м по размеру. спасибо продавцу
1571,"Юбка ужасная, ещё и рваная к тому же!!! Прошу вернуть деньги!!! "
1572,"К сожалению,не хлопок...синтетика.Посылка шла более 45 дней."
1573,"Материал дешёвый. На фото выглядит в 100 раз лучше, чем на фото."
1574,Не рекомендую ни ТОВАР ни  ПРОДАВЦА .ВСЕ ОТВРАТИТЕЛЬНО. огромный минус все НА ДНЕ.  ПОЗОР.
1575,"Блузка шла в течении двух месяцев!  Я открыла спор, деньги так и не вернули! Отвратительно!!!"
1576,"очень качественный свитер, мягкий, такой приятный к телу. мне очень понравился, ношу с удовольствием. правда рукава чуток коротковаты."
1577,"Очень хорошая рубашка, для таких денег качество просто супер"
1578,"долгое отправление, ожидание около 2-х месяцев, кофточка полная синтетика и сильно магнитится, прилипает к телу"
1579,пришел быстро. цвет - жуть. грязный молочный беж...качество на 3...где зад где перед не понятно. носить не комфортно. плотный зимний. швы торчат. не колется но чешется.
1580,"Товар очень непонятный, ткань неприятная и не то, что на фото"
1581,левый карман куртки прошит на зад им пользоваться нельзя!!!! качество куртки  неудовлетворительное и согласно таблицы брала xl оказалась большой!!!
1582,"Прошло 3 месяца,а заказ так и не пришёл. Трек  не отслеживался ((( По спору денежку вернули."
